name,number
AA Labels,
AEL Outdoor Solutions,
Airtrace Sheet Metal Ltd,
Alloy Bodies Ltd,
APL Aerial Platforms Ltd,
Apollo Aerospace Components,
Arbil Lifting,
ASSAY Clinical Research,
ATC Systems Limited,
Ball & Young,
Barkston Plastics Engineering Ltd,
Beagle Orthopaedic,
Brigham Pressings,
C4 Carbides Ltd,
Carr's Flour Mills Limited,
Cartwright Vehicle Conversions Ltd,
CCS Garage Equipment,
Clade Engineering Systems,
Clarity Pharma Limited,
Constant Group,
Constant Power Solutions Ltd,
CoolKit Ltd,
Cotek Papers Limited,
Country Fresh Foods Limited,
Coverworld UK Ltd,
CPD,
Croft Architectural Hardware,
Cross-Guard DCS Limited,
Deltron Lifts,
Didsbury,
Dinstock Ltd,
Enviropax Ltd,
E-TEC Power Management Ltd UK,
Euroforest Ltd,
Evac+Chair,
F. A. Firman (Glass Projects) Ltd,
Farmhouse Biscuits Ltd,
Filtration Control,
Fire Curtains Group Ltd,
Fire Glass,
Fixfast,
Flo-Mech Ltd,
Food Attraction Limited,
Forward Glass Ltd,
Frame Fast UK Ltd,
From The Anvil,
Fudge Kitchen,
Future Products Ltd,
Garnalex Ltd,
George Smith,
Gerda Security Products,
Global Fire & Security Systems,
Global Telemetrics,
Henshaw Inflatables Ltd,
HGV Direct Ltd,
Hilsonic Process Systems Ltd,
Hubron (International) Limited,
Hydratron,
I'm a Natural,
Imperial Office Furniture Ltd,
Impress Group,
Instarmac Group plc,
Interior Door Systems Ltd,
Isoclad,
Isolated Systems Ltd,
Kernow Fixings,
Kings Fine Cooked Meats,
Lamtek Complete,
Land Energy,
Laserline Dies Group Limited,
Lawton Yarns Limited,
Leafield Cases,
Links Labels,
Lloret,
Macron Hub London West,
Maple Fleet Services,
MatOrtho Ltd,
Matthews Cotswold Flour,
MCT,
Mega Glass Limited,
Mercia Garden Products Limited,
Merlin Circuit Technology Ltd,
Merlin Flex Limited,
Metal Assemblies Ltd,
MJAllen Automotive,
MK Test Systems,
Molecular Products,
MRT Castings Ltd,
N-ERGISE,
Orange Packaging,
PCT Automotive Limited,
Percy Doughty,
Physical Properties Testers Group,
Pixel Global AV,
Pland Stainless Limited,
Pyroban,
R&B Switchgear Group,
Radmat Building Materials,
Radnor Hills,
Rain Nutrience Ltd,
RB Medical Engineering,
Rea Valley Tractors,
Ready Foods Ltd,
Redrock Automation Ltd,
Refuse Vehicle Solutions Ltd,
Riva Food Group,
Romiley Board Mill,
Rotabroach,
Samuel Grant Packaging,
Semmco,
SFM Technology Ltd,
SMC Smart Homes,
Smithpack Limited,
Solarcrown Commercial (SCC),
Specialised Orthotic Services,
Staingard Ltd,
Stoneham Kitchens,
Street Crane,
String Products Ltd,
Strongdor Limited,
SUNFLEX UK,
Supply Plus,
Surgitrac Instruments Group,
Sutcliffe Play,
Table Place Chairs,
TBC Conversions,
TCMM Shutter Group,
Terry Lifts,
The Boxshop Ltd,
The Corrugated Case Company Limited,
The Furniture Practice Limited,03470956
The Versapak Group,
Thomas Fattorini Ltd,
Timber Garden Buildings Ltd,
Top Tubes Ltd,
Trac Precision Solutions Ltd,
Traffic Group Signals,
TRB Lightweight Structures,
Tridan Engineering Ltd,
Trimite Global Coatings,
TRS Worldwide,
Truckmasters Handling Ltd,
Turbo Systems Engineering,
Unitruck,
Urathon Europe Ltd,
VAC-EX.COM,
Vicars Game Ltd,
Walker's Nonsuch Toffee,
Watershed Packaging Ltd,
Webb Automation,
WEST Brewery,
West Yorkshire Spinners,
Whitby Morrison,
Wrights Plastics,
Wulfrun Specialised Fasteners,
Wye Fruit,
Yewdale,
